id,estado,municipio,cod_inegi_municipio,localidad,cod_inegi_localidad
323,BAJA CALIFORNIA,ENSENADA,002001,,
324,BAJA CALIFORNIA,ENSENADA,002001,,
325,BAJA CALIFORNIA,ENSENADA,002001,,
326,BAJA CALIFORNIA,ENSENADA,002001,,
327,BAJA CALIFORNIA,ENSENADA,002001,,
328,BAJA CALIFORNIA,ENSENADA,002001,,
329,BAJA CALIFORNIA,ENSENADA,002001,,
330,BAJA CALIFORNIA,ENSENADA,002001,,
331,BAJA CALIFORNIA,ENSENADA,002001,,
332,BAJA CALIFORNIA,ENSENADA,002001,,
333,BAJA CALIFORNIA,ENSENADA,002001,,
334,BAJA CALIFORNIA,ENSENADA,002001,,
335,BAJA CALIFORNIA,ENSENADA,002001,,
336,BAJA CALIFORNIA,ENSENADA,002001,,
337,BAJA CALIFORNIA,ENSENADA,002001,,
338,BAJA CALIFORNIA,ENSENADA,002001,,
339,BAJA CALIFORNIA,ENSENADA,002001,,
340,BAJA CALIFORNIA,ENSENADA,002001,,
341,BAJA CALIFORNIA,ENSENADA,002001,,
342,BAJA CALIFORNIA,ENSENADA,002001,,
343,BAJA CALIFORNIA,ENSENADA,002001,,
344,BAJA CALIFORNIA,ENSENADA,002001,,
345,BAJA CALIFORNIA,ENSENADA,002001,,
346,BAJA CALIFORNIA,ENSENADA,002001,,
347,BAJA CALIFORNIA,ENSENADA,002001,,
348,BAJA CALIFORNIA,ENSENADA,002001,,
349,BAJA CALIFORNIA,ENSENADA,002001,,
350,BAJA CALIFORNIA,ENSENADA,002001,,
351,BAJA CALIFORNIA,ENSENADA,002001,,
352,BAJA CALIFORNIA,ENSENADA,002001,,
353,BAJA CALIFORNIA,ENSENADA,002001,,
354,BAJA CALIFORNIA,ENSENADA,002001,,
355,BAJA CALIFORNIA,ENSENADA,002001,,
356,BAJA CALIFORNIA,ENSENADA,002001,,
357,BAJA CALIFORNIA,ENSENADA,002001,,
358,BAJA CALIFORNIA,ENSENADA,002001,,
359,BAJA CALIFORNIA,ENSENADA,002001,,
360,BAJA CALIFORNIA,ENSENADA,002001,,
361,BAJA CALIFORNIA,ENSENADA,002001,,
362,BAJA CALIFORNIA,ENSENADA,002001,,
363,BAJA CALIFORNIA,ENSENADA,002001,,
364,BAJA CALIFORNIA,ENSENADA,002001,,
365,BAJA CALIFORNIA,ENSENADA,002001,,
366,BAJA CALIFORNIA,ENSENADA,002001,,
367,BAJA CALIFORNIA,ENSENADA,002001,,
368,BAJA CALIFORNIA,ENSENADA,002001,,
369,BAJA CALIFORNIA,ENSENADA,002001,,
370,BAJA CALIFORNIA,ENSENADA,002001,,
371,BAJA CALIFORNIA,ENSENADA,002001,,
372,BAJA CALIFORNIA,ENSENADA,002001,,
373,BAJA CALIFORNIA,ENSENADA,002001,,
374,BAJA CALIFORNIA,ENSENADA,002001,,
375,BAJA CALIFORNIA,ENSENADA,002001,,
376,BAJA CALIFORNIA,ENSENADA,002001,,
377,BAJA CALIFORNIA,ENSENADA,002001,,
378,BAJA CALIFORNIA,ENSENADA,002001,,
379,BAJA CALIFORNIA,ENSENADA,002001,,
380,BAJA CALIFORNIA,ENSENADA,002001,,
381,BAJA CALIFORNIA,ENSENADA,002001,,
382,BAJA CALIFORNIA,ENSENADA,002001,,
383,BAJA CALIFORNIA,ENSENADA,002001,,
384,BAJA CALIFORNIA,ENSENADA,002001,,
385,BAJA CALIFORNIA,ENSENADA,002001,,
386,BAJA CALIFORNIA,ENSENADA,002001,,
387,BAJA CALIFORNIA,ENSENADA,002001,,
388,BAJA CALIFORNIA,ENSENADA,002001,,
389,BAJA CALIFORNIA,ENSENADA,002001,,
390,BAJA CALIFORNIA,ENSENADA,002001,,
391,BAJA CALIFORNIA,ENSENADA,002001,,
392,BAJA CALIFORNIA,ENSENADA,002001,,
393,BAJA CALIFORNIA,ENSENADA,002001,,
394,BAJA CALIFORNIA,ENSENADA,002001,,
395,BAJA CALIFORNIA,ENSENADA,002001,,
396,BAJA CALIFORNIA,ENSENADA,002001,,
397,BAJA CALIFORNIA,ENSENADA,002001,,
398,BAJA CALIFORNIA,ENSENADA,002001,,
399,BAJA CALIFORNIA,ENSENADA,002001,,
400,BAJA CALIFORNIA,ENSENADA,002001,,
401,BAJA CALIFORNIA,ENSENADA,002001,,
402,BAJA CALIFORNIA,ENSENADA,002001,,
403,BAJA CALIFORNIA,ENSENADA,002001,,
404,BAJA CALIFORNIA,ENSENADA,002001,,
405,BAJA CALIFORNIA,ENSENADA,002001,,
406,BAJA CALIFORNIA,ENSENADA,002001,,
407,BAJA CALIFORNIA,ENSENADA,002001,,
408,BAJA CALIFORNIA,ENSENADA,002001,,
409,BAJA CALIFORNIA,ENSENADA,002001,,
410,BAJA CALIFORNIA,ENSENADA,002001,,
411,BAJA CALIFORNIA,ENSENADA,002001,,
412,BAJA CALIFORNIA,ENSENADA,002001,,
413,BAJA CALIFORNIA,ENSENADA,002001,,
414,BAJA CALIFORNIA,ENSENADA,002001,,
415,BAJA CALIFORNIA,ENSENADA,002001,,
416,BAJA CALIFORNIA,ENSENADA,002001,,
417,BAJA CALIFORNIA,ENSENADA,002001,,
418,BAJA CALIFORNIA,ENSENADA,002001,,
419,BAJA CALIFORNIA,ENSENADA,002001,,
420,BAJA CALIFORNIA,ENSENADA,002001,,
421,BAJA CALIFORNIA,ENSENADA,002001,,
422,BAJA CALIFORNIA,ENSENADA,002001,,
423,BAJA CALIFORNIA,ENSENADA,002001,,
424,BAJA CALIFORNIA,ENSENADA,002001,,
425,BAJA CALIFORNIA,ENSENADA,002001,,
426,BAJA CALIFORNIA,ENSENADA,002001,,
427,BAJA CALIFORNIA,ENSENADA,002001,,
428,BAJA CALIFORNIA,ENSENADA,002001,,
429,BAJA CALIFORNIA,ENSENADA,002001,,
430,BAJA CALIFORNIA,ENSENADA,002001,,
431,BAJA CALIFORNIA,ENSENADA,002001,,
432,BAJA CALIFORNIA,ENSENADA,002001,,
433,BAJA CALIFORNIA,ENSENADA,002001,,
434,BAJA CALIFORNIA,ENSENADA,002001,,
435,BAJA CALIFORNIA,ENSENADA,002001,,
436,BAJA CALIFORNIA,ENSENADA,002001,,
437,BAJA CALIFORNIA,ENSENADA,002001,,
438,BAJA CALIFORNIA,ENSENADA,002001,,
439,BAJA CALIFORNIA,ENSENADA,002001,,
440,BAJA CALIFORNIA,ENSENADA,002001,,
441,BAJA CALIFORNIA,ENSENADA,002001,,
442,BAJA CALIFORNIA,ENSENADA,002001,,
443,BAJA CALIFORNIA,ENSENADA,002001,,
444,BAJA CALIFORNIA,ENSENADA,002001,,
445,BAJA CALIFORNIA,ENSENADA,002001,,
446,BAJA CALIFORNIA,ENSENADA,002001,,
447,BAJA CALIFORNIA,ENSENADA,002001,,
448,BAJA CALIFORNIA,ENSENADA,002001,,
449,BAJA CALIFORNIA,ENSENADA,002001,,
450,BAJA CALIFORNIA,ENSENADA,002001,,
451,BAJA CALIFORNIA,ENSENADA,002001,,
452,BAJA CALIFORNIA,ENSENADA,002001,,
453,BAJA CALIFORNIA,ENSENADA,002001,,
454,BAJA CALIFORNIA,ENSENADA,002001,,
455,BAJA CALIFORNIA,ENSENADA,002001,,
456,BAJA CALIFORNIA,ENSENADA,002001,,
457,BAJA CALIFORNIA,ENSENADA,002001,,
458,BAJA CALIFORNIA,ENSENADA,002001,,
459,BAJA CALIFORNIA,ENSENADA,002001,,
460,BAJA CALIFORNIA,ENSENADA,002001,,
461,BAJA CALIFORNIA,ENSENADA,002001,,
462,BAJA CALIFORNIA,ENSENADA,002001,,
463,BAJA CALIFORNIA,ENSENADA,002001,,
464,BAJA CALIFORNIA,ENSENADA,002001,,
465,BAJA CALIFORNIA,ENSENADA,002001,,
466,BAJA CALIFORNIA,ENSENADA,002001,,
467,BAJA CALIFORNIA,ENSENADA,002001,,
468,BAJA CALIFORNIA,ENSENADA,002001,,
469,BAJA CALIFORNIA,ENSENADA,002001,,
470,BAJA CALIFORNIA,ENSENADA,002001,,
471,BAJA CALIFORNIA,ENSENADA,002001,,
472,BAJA CALIFORNIA,ENSENADA,002001,,
473,BAJA CALIFORNIA,ENSENADA,002001,,
474,BAJA CALIFORNIA,ENSENADA,002001,,
475,BAJA CALIFORNIA,ENSENADA,002001,,
476,BAJA CALIFORNIA,ENSENADA,002001,,
477,BAJA CALIFORNIA,ENSENADA,002001,,
478,BAJA CALIFORNIA,ENSENADA,002001,,
479,BAJA CALIFORNIA,ENSENADA,002001,,
480,BAJA CALIFORNIA,ENSENADA,002001,,
481,BAJA CALIFORNIA,ENSENADA,002001,,
482,BAJA CALIFORNIA,ENSENADA,002001,,
483,BAJA CALIFORNIA,ENSENADA,002001,,
484,BAJA CALIFORNIA,ENSENADA,002001,,
485,BAJA CALIFORNIA,ENSENADA,002001,,
486,BAJA CALIFORNIA,ENSENADA,002001,,
487,BAJA CALIFORNIA,ENSENADA,002001,,
488,BAJA CALIFORNIA,ENSENADA,002001,,
489,BAJA CALIFORNIA,ENSENADA,002001,,
490,BAJA CALIFORNIA,ENSENADA,002001,,
491,BAJA CALIFORNIA,ENSENADA,002001,,
492,BAJA CALIFORNIA,ENSENADA,002001,,
493,BAJA CALIFORNIA,ENSENADA,002001,,
494,BAJA CALIFORNIA,ENSENADA,002001,,
495,BAJA CALIFORNIA,ENSENADA,002001,,
496,BAJA CALIFORNIA,ENSENADA,002001,,
497,BAJA CALIFORNIA,ENSENADA,002001,,
498,BAJA CALIFORNIA,ENSENADA,002001,,
499,BAJA CALIFORNIA,ENSENADA,002001,,
500,BAJA CALIFORNIA,ENSENADA,002001,,
