Localidades Rurales Amanzanadas que rebasan su Ageb,,,,,,,
,,,,,,,
Clave Entidad,Clave Municipio,Clave Localidad,Clave Ageb,Nombre Geográfico,,,
10,039,0094,011-7,Nueva Instalación,,,
10,039,0121,009-A,Nuevo Patio de Flores,,,
10,039,0144,010-2,Campo de Gracia,,,
11,001,0040,007-8,Las Estacas,,,
11,001,0058,002-5,Estación Joaquín,,,
11,001,0171,003-A,Soledad de Negrete,,,
11,001,0248,004-4,Miraflores,,,
11,002,0012,001-8,La Concepción,,,
11,002,0050,006-0,Las Partidas,,,
11,002,0104,001-8,Puerto Ferrer,,,
11,002,0106,007-5,Las Trancas (Los Milagros),,,
11,003,0024,020-8,Begoña del Progreso,,,
11,003,0035,021-2,Calderón,,,
11,003,0055,003-4,El Carmen,,,
11,003,0070,015-7,Clavellinas (Clavellinas Coyotes),,,
11,003,0103,022-7,Fajardo de Bocas,,,
11,003,0104,023-1,Fajardo de Támbula,,,
11,003,0105,018-0,Flores de Begoña,,,
11,003,0121,024-6,El Herrero,,,
11,003,0195,018-0,Pantoja,,,
11,003,0210,004-9,Presita de Santa Rosa,,,
11,003,0236,001-5,Rancho Viejo,,,
11,003,0240,001-5,Los Ricos de Abajo,,,
11,003,0274,019-5,San Isidro de la Cañada de la Virgen,,,
11,003,0539,014-2,Zirándaro [Fraccionamiento],,,
11,003,0576,014-2,San Valente,,,
